,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G66760,-1.446221327,-0.346099674,-0.633310254,0.66857774,0.100009355,0.644984341,2.004545515,-0.452325329,-0.540160367
AT1G66810,1.11796633,-0.095108523,1.335102812,-0.349249412,-0.50001544,-0.189987021,-2.051922642,0.555462234,0.177751662
AT1G66920,-1.212664007,0.056261304,-0.640775781,1.493779103,-0.625106714,1.779454039,-0.114036439,-0.51435364,-0.222557865
AT1G67070,-1.141886681,-0.469987331,-0.923580622,1.603782918,-0.198742317,1.289436515,0.865786923,-0.321045463,-0.703763941
AT1G67265,1.70999927,-1.175407145,-0.545882687,-1.229676263,0.886929264,-0.725196923,0.141355809,0.232417507,0.705461168
AT1G68520,-0.871682315,-1.042472517,-0.831006028,-0.759271978,0.735433357,1.539527838,1.391215868,0.034855288,-0.196599512
AT1G68640,-1.02664141,-1.023966759,-0.723324792,-0.238175425,1.687702228,-0.290145087,1.369300779,-0.367268482,0.612518947
AT1G68670,-0.412052941,-1.063082007,-0.074247045,-1.390749492,0.565424819,0.28853447,2.079147212,-0.127897316,0.1349223
AT1G68840,-1.696317534,0.178779253,1.122922382,-0.528548735,-0.000896497,-0.696167622,1.734196922,-0.217674571,0.103706404
AT1G68880,-0.385115699,-0.192458007,-1.076777246,2.53938328,-0.352477234,-0.190270439,-0.140158971,-0.156804039,-0.045321645
AT1G69010,1.092790819,-1.135633236,1.575964764,-1.392180647,-0.180087184,-0.250640855,0.900232843,-0.339279207,-0.271167296
AT1G69490,-0.854335207,-0.354228335,0.215483253,-0.230741164,0.104500269,-0.428448059,2.517273434,-0.632799972,-0.33670422
AT1G69570,-1.220365083,1.054269062,-1.385551272,1.274421511,-0.939228983,0.250595372,-0.304580183,0.562429935,0.70800964
AT1G69600,2.30128152,-0.715564693,-0.383429287,-0.442046372,-0.351160128,-1.216062752,0.342988345,0.126546353,0.337447014
AT1G69780,0.760508677,0.67171619,0.560473795,0.294040217,-1.042946074,0.295580596,-1.979370183,1.050668025,-0.610671243
AT1G69810,-0.04995891,0.494845371,-0.791567371,2.469659238,-0.459212719,-0.365426218,-0.706923683,-0.358143855,-0.233271854
AT1G69890,-1.211317639,0.343463055,0.102813415,-0.191755908,0.365443685,-1.075249408,2.015781808,-0.865006812,0.515827804
AT1G69930,-1.649903843,0.755859769,-0.366075401,-0.090669244,-0.113287279,-0.866782574,1.83737608,0.635586861,-0.142104369
AT1G70000,-0.304115818,0.343018558,-0.264488219,2.259267682,-0.795929224,0.722494074,-0.843438119,-0.308317097,-0.808491838
AT1G70260,1.485440747,-0.158662845,-1.083343268,0.333179586,0.073627067,-0.693306187,-1.392510474,0.000838437,1.434736937
AT1G70700,-1.100002732,-0.878276468,-1.06460557,-0.347069976,0.984237966,0.232578156,1.925235762,0.075452861,0.172450002
AT1G70920,-0.203384993,-0.989095801,-0.849754889,-0.509199463,0.489541529,-0.747214688,2.24537925,0.295143769,0.268585286
AT1G71030,-0.873605457,-0.447053094,-0.67949455,-0.566045397,0.608484115,-0.764706572,1.799170068,-0.442973558,1.366224445
AT1G71200,0.745056507,0.171914046,1.197086631,0.609080034,-1.138012839,-0.264759848,-1.827385301,0.87732863,-0.37030786
AT1G71692,1.56798325,0.496173732,-0.416260948,1.382909261,-0.469550711,-1.435780198,0.181389122,-0.510711433,-0.796152076
AT1G72010,-1.056365303,-0.787815626,-0.299586701,-0.971899873,0.639677651,0.101916309,2.169997004,-0.097726948,0.301803488
AT1G72220,1.081194398,-0.697203683,-1.504582583,-1.078534586,-0.146638442,-0.27537332,0.400424147,0.798538327,1.422175742
AT1G72360,-0.640471342,0.028375713,-0.493091351,2.508591014,-0.482664969,0.444684707,-0.453574793,-0.437910746,-0.473938232
AT1G72416,-0.569917235,0.457029,-0.471948935,2.538203923,-0.41945137,-0.22537356,-0.478939397,-0.393966656,-0.435635769
AT1G72450,-1.644848122,1.568340396,-0.458098014,-0.43102252,0.524945006,-0.535924135,1.336718836,-0.291207744,-0.068903703
AT1G72490,2.216175011,-0.559757205,-0.573719901,0.404920456,-0.031076969,-1.251421782,0.614618838,-0.435955264,-0.383783183
AT1G72500,-0.349168924,0.26754243,-0.553425995,2.159880236,-0.732361647,0.947437443,-1.035727123,-0.151482917,-0.552693503
AT1G72610,-1.188580653,-0.608316434,-0.970835886,0.088692245,0.523259314,2.068179153,-0.38941477,0.712985443,-0.235968413
AT1G72650,-0.459908594,-1.218021985,-0.082879328,-1.057857427,0.70964293,-0.167088155,2.079568686,-0.291306685,0.487850559
AT1G72790,-1.168125634,2.283544197,0.149593204,0.481832486,-0.006128042,-0.909904781,-0.533319345,-0.218471127,-0.079020957
AT1G72940,-1.395520025,1.453414945,1.466944226,0.600770085,-0.574630648,0.196671415,-0.582552793,-0.440623851,-0.724473354
AT1G73360,-0.945127682,-0.332963356,-0.761247318,0.434130207,0.125761076,2.408699992,-0.567610343,-0.074339186,-0.28730339
AT1G73410,1.521818386,0.460810402,-0.84851183,0.840239647,-0.156037106,-1.442490025,-1.246834953,0.493381315,0.377624165
AT1G73480,-0.740324908,-0.198403907,-0.334419029,2.042028675,-1.026923384,1.112912099,0.333496714,-0.695092755,-0.493273506
AT1G73500,-1.618054638,-0.121307376,0.294917945,-0.503985383,0.800931705,-0.629967329,1.986389527,-0.205178041,-0.003746409
AT1G73540,-0.398887866,-0.101398768,2.613849201,-0.370793744,-0.363181593,0.028346293,-0.608125912,-0.261081077,-0.538726534
AT1G73830,1.942837521,-0.047624327,0.906045084,-1.487004486,0.307264245,-0.467919523,-0.857475313,0.073913479,-0.370036681
AT1G74430,-1.696103829,-0.782978709,-0.969364091,-0.142525393,0.879727752,0.752941918,1.431323065,0.159052667,0.36792662
AT1G74440,-1.387312324,-0.45863135,-1.175003316,1.246635935,0.16794383,1.664721239,-0.068119108,0.255978175,-0.246213082
AT1G74450,-0.407289788,1.999354581,1.32870092,0.202470519,-0.583959224,-0.647429304,-0.849029021,-0.573835866,-0.468982816
AT1G74500,1.496942264,-0.325111511,0.627171771,-0.082830913,-0.931960991,-0.264832836,-1.416015676,1.42491843,-0.528280539
AT1G74840,1.038926344,-0.881012848,-1.788342381,0.705069054,0.466519543,-0.733871477,1.191083292,-0.369502525,0.371130998
AT1G74930,-0.506328571,-0.309103576,2.657644687,-0.334040287,-0.28110989,-0.300815322,-0.203581792,-0.33537635,-0.387288899
AT1G74950,-1.829450391,0.283038023,-0.67058191,-0.368711959,1.139441636,-0.016912929,1.633595997,-0.138132482,-0.032285983
AT1G75100,-0.828319349,-0.181699785,-0.631028926,1.376521328,-0.47226653,1.926652927,0.194398018,-0.523366673,-0.86089101
AT1G75450,-0.000792238,-1.347573338,-0.45587578,-1.065462397,-0.088067425,0.857390823,1.993785473,0.295450269,-0.188855387
AT1G75460,-1.097666457,-0.721947643,-0.866830263,-0.123559165,0.525356111,2.251886609,0.081126283,0.251964822,-0.300330297
AT1G75490,-0.858402941,-0.375791976,-0.691676489,-0.324115306,0.303407967,0.1609253,2.484470274,-0.39264795,-0.30616888
AT1G75710,0.542491649,0.186781184,1.522775697,0.317435065,-1.07129339,0.602886618,-1.929820414,-0.06121771,-0.1100387
AT1G76600,-0.780892942,0.486414887,1.39061361,-0.689680669,-0.121248229,-0.926284221,1.781877244,-0.721461212,-0.419338467
AT1G76640,-1.387044258,-0.76552606,-1.150614549,-0.287595907,1.307106478,0.161026613,1.454255102,0.260835219,0.407557362
AT1G76650,-1.450123047,1.965130705,0.548454234,0.880822659,-0.154028331,-0.29845185,-0.304131025,-0.438633656,-0.74903969
AT1G76890,0.562135766,0.929564676,0.090061022,1.758675933,-0.534346341,-0.035835827,-1.656421927,-0.372519341,-0.741313961
AT1G77200,0.91933053,-0.644714553,0.836383892,-1.400751649,-0.696949514,0.296093959,-1.25814442,1.080151541,0.868600215
AT1G77530,-0.903081512,0.722934088,-0.496379124,1.697265129,-0.178029533,-0.081920684,1.219177664,-1.147743126,-0.832222902
AT1G77640,-0.293084788,0.8107129,2.389872746,-0.58851925,-0.285104521,-0.749151834,-0.428076863,-0.484507637,-0.372140754
AT1G77920,1.246882327,-0.211303113,-0.538714244,1.54723911,-0.133040834,0.057257598,-1.921028315,-0.068519319,0.021226791
AT1G78080,-0.229105053,-0.791486451,-0.314136672,-1.115205288,0.657657747,-0.746969233,2.101724394,-0.268713361,0.706233917
AT1G78440,-0.458100743,0.37033678,-0.421462938,2.547344122,-0.497473842,-0.055063381,-0.506894099,-0.493491626,-0.485194273
AT1G78450,-0.512439435,0.647746309,-0.209004563,1.643156555,-0.712430401,1.468201692,-1.02415595,-0.561884888,-0.73918932
AT1G78510,-0.629375339,0.287235717,-0.047931926,2.255395898,-0.803726484,0.71846242,-0.504423091,-0.319980661,-0.955656535
AT1G78600,-0.896973024,1.072097212,-1.007396984,1.119040561,1.040808676,-0.870262418,-0.885249178,-0.515099212,0.943034369
AT1G78700,1.813028562,0.459085186,0.894415197,-1.140596021,-1.117530987,-0.568229675,-0.713163494,0.540971656,-0.167980426
AT1G78820,-0.564317824,0.746842022,-0.177260748,2.253658708,-0.680996129,0.363910742,-0.952636146,-0.39357526,-0.595625364
AT1G79310,-1.375877433,-0.008428145,-0.718414465,-0.246504263,1.489429619,-0.624576115,1.528059237,-0.562950156,0.519261721
AT1G79430,-0.608250078,-1.440950616,-0.595558458,-0.778613372,0.881403574,-0.090683896,1.720447168,0.920683627,-0.008477949
AT1G79700,-0.156074241,-0.252929605,0.719880727,-0.927449093,0.505264456,-1.050069284,2.127595428,-0.784678755,-0.181539634
AT1G80130,-0.779555012,0.105067025,0.851081961,2.01519224,-1.205819672,0.491368159,-0.160179353,-0.597896733,-0.719258615
AT1G80340,-0.498970989,0.322619381,-0.224086077,2.339449622,-0.630491914,0.636141033,-0.817583064,-0.468893215,-0.658184778
AT1G80760,-0.233884538,0.43438221,0.473648406,2.311370726,-0.524292457,-0.357589032,-1.146138923,-0.565483645,-0.392012748
AT1G80840,-0.663623101,1.125630846,2.242945745,-0.43883897,-0.398793869,-0.513055257,-0.297531112,-0.533038309,-0.523695972
AT2G01300,-1.144283021,0.536468746,2.229340758,0.255964425,-0.153273479,-0.832329808,0.205427729,-0.607065475,-0.490249876
AT2G01430,-0.501445895,-0.496649867,-0.782447534,-0.105933483,-0.031871705,-0.452380193,2.495206908,-0.530734741,0.40625651
AT2G01930,-0.823449863,-0.842323079,0.514897233,-0.949987236,-0.431345328,1.407881654,1.74398152,-0.162891981,-0.45676292
AT2G02060,-0.260955131,-0.799613422,0.745605026,-1.333388887,-0.397771815,-0.153529687,2.178113933,-0.116630842,0.138170825
AT2G02070,-0.760332737,-0.703753476,0.594843581,-1.284552568,-0.421593324,1.885723369,-0.492960598,0.94252894,0.240096814
AT2G02080,-0.670434764,-0.527075979,1.663765909,-1.55197208,-0.534077293,0.430021342,1.255173851,0.122568385,-0.187969371
AT2G02630,-0.484100545,2.160342937,-0.297049637,1.257029034,-0.392564585,-0.614630483,-0.627006593,-0.461213336,-0.540806792
AT2G02680,-0.358202191,1.063241999,-0.312556959,2.266778776,-0.517252116,-0.43331725,-0.791233626,-0.497461437,-0.419997196
AT2G02700,-0.807781362,1.355503188,-0.232174303,2.054950006,-0.452628209,-0.657038771,-0.604240635,-0.418133142,-0.238456772
AT2G02950,-0.647913516,1.442636855,-0.012940444,1.86194767,-0.728070771,0.173354309,-0.762792054,-0.590421774,-0.735800277
AT2G03710,-1.553007108,-0.913890598,0.116982586,-0.447620122,0.536855084,-0.124397437,1.690393394,1.101170064,-0.406485862
AT2G04038,0.386995461,-0.737061117,-1.034034116,-0.441187235,0.486244031,-0.836005848,2.252912629,-0.159590423,0.081726618
AT2G05070,-0.694165977,-0.595621391,-0.659184896,-0.372288422,-0.199744652,2.424730673,0.534537651,0.161171592,-0.599434578
AT2G05100,-0.741028905,-0.59401553,-0.665952242,-0.205671199,-0.293460291,2.386462371,0.655650397,0.085487708,-0.627472309
AT2G06200,0.557354933,0.173444214,0.198661761,0.200924746,-0.844695604,1.486063224,-1.994746978,0.683188273,-0.460194568
AT2G12190,-1.571914898,-0.606723574,1.290173185,-0.789816852,-0.165206147,1.544083104,0.071026646,0.57787218,-0.349493645
AT2G14210,-0.191106701,-0.870697346,-1.100717958,-0.146740566,0.503888654,-0.479698139,2.342344571,-0.025529631,-0.031742885
AT2G14760,2.148409328,-0.089481478,0.424319864,0.131291833,-1.030019336,-0.618262752,-1.13320374,0.551324944,-0.384378665
AT2G15760,-0.625402335,1.911286943,0.700897275,0.220723025,-0.406259943,-1.253252771,0.833059189,-0.562952629,-0.818098754
AT2G16365,-0.856950298,1.580734104,-0.334181057,1.817038556,-0.182155282,-0.38109149,-0.704476358,-0.814515536,-0.12440264
AT2G16660,-1.273961147,-0.117725144,-0.848067278,1.942797213,-0.564595385,1.070369065,0.431425364,-0.403618617,-0.236624072
AT2G16720,1.64295938,-1.104655879,-1.674312408,0.511076443,0.580895688,-0.572150414,0.171238658,-0.111285019,0.556233551
AT2G18210,-1.35787871,0.611063802,0.629167104,-0.94084893,1.032558551,-0.913934434,1.512955954,-0.557666362,-0.015416973
AT2G18300,0.952461973,-1.689503772,-0.225437044,-1.31640738,0.503126543,0.883090751,-0.303135256,1.152335383,0.043468803
AT2G19650,-0.888293134,0.168403181,-0.56678769,2.238416636,-0.659614875,0.818064576,-0.65495414,0.099424575,-0.55465913
AT2G19810,-0.241615424,-0.474308307,0.506093338,-1.09723835,0.451994079,-0.834090945,2.242089472,-0.573747317,0.020823454
AT2G20142,-0.490620774,1.920886669,1.397856765,0.154964227,-0.424676753,-0.974289315,-0.383348274,-0.817175281,-0.383597264
AT2G20180,-0.601623009,-0.911931079,0.108425846,-0.381539729,-0.416920963,2.233696307,-0.653011301,0.969271104,-0.346367177
AT2G20570,-1.071544691,-0.919439409,-0.915734195,-0.645516229,0.036287959,1.284056211,1.461409981,0.963386589,-0.192906216
AT2G20880,1.296235166,0.026353019,-2.196809214,0.637839062,-0.155222142,-0.590877649,-0.181173464,0.621637461,0.542017761
AT2G21320,-0.627861605,-0.023892166,-0.394003634,2.166558437,-0.735339301,1.170612575,-0.528225783,-0.376650473,-0.65119805
AT2G21910,1.542304199,0.618348196,1.354996565,-0.867155744,-0.336650566,-1.45659515,-0.62168854,-0.083659067,-0.149899895
AT2G21970,-0.337577724,0.533104379,-0.114407026,2.365631362,-0.732565809,0.294907876,-0.794548892,-0.612285197,-0.602258969
AT2G22200,-1.032601142,-0.971662922,-0.800076154,-0.989712011,1.07102267,0.674532398,1.517194524,0.668671382,-0.137368745
AT2G22300,-1.343884819,0.278910953,-1.147688634,-0.284020689,1.42675945,-0.590834965,1.493794504,-0.126561102,0.293525302
AT2G22500,-0.226311986,1.38998848,1.838184456,0.360814231,-0.746086812,-0.502133933,-1.050457092,-0.410927174,-0.653070169
AT2G22760,-1.316639505,0.526343911,1.903012424,-0.650468835,0.710027232,-0.526153441,0.608481097,-0.684820807,-0.569782076
AT2G22770,-1.113357151,-0.81227642,-1.429683996,0.319596996,0.807457145,1.626281768,0.76688698,0.084897797,-0.249803119
AT2G22800,0.505463023,-0.899979327,-1.858181291,1.240362715,0.302637388,-0.835729686,0.863831121,0.636333705,0.045262353
AT2G22840,-0.035668716,-0.088208445,1.043193385,0.152433435,-0.816700992,0.124556659,-1.971865908,1.517601605,0.074658977
AT2G22850,-0.659427654,-0.11291024,-0.225005556,-1.101745838,0.815322375,-0.372757653,2.289702337,-0.173336704,-0.459841066
AT2G22880,-1.496078334,1.232803121,0.905878883,1.325021693,-0.846131095,0.285570182,-0.212895962,-0.831407746,-0.362760741
AT2G23000,-0.797525432,-0.64235757,-0.693017983,0.276879446,-0.449823129,2.290367251,-0.37978092,0.799261393,-0.404003058
AT2G23030,1.798288105,-0.389251061,-0.323498042,-0.709265455,0.516320059,-1.488430504,-0.345476936,-0.223076852,1.164390686
AT2G23130,-0.634555355,1.163378861,-0.452541091,2.085348115,-0.744616716,0.118159398,-0.771181332,-0.038891884,-0.725099997
AT2G23320,-0.454640911,0.049767846,0.35088075,-0.442825657,-0.186933265,-0.899791474,2.488131066,-0.335872633,-0.56871572
AT2G23760,-0.751519844,-0.849520276,-0.397532152,-0.391429668,0.295341459,-0.192146161,2.498076029,-0.19348764,-0.017781747
AT2G24540,-0.863903272,0.916917673,-0.116692752,2.092695408,-0.702488988,0.553276924,-0.581633631,-0.508704785,-0.789466578
AT2G24600,-1.045973805,2.09637267,0.476629158,0.911286523,-0.450758084,-0.878559005,-0.16262891,-0.427150075,-0.519218471
AT2G24790,-0.96929172,-0.956167893,0.557584376,-0.98298989,-0.324163351,1.287806349,1.728240252,0.003500915,-0.344519038
AT2G24850,-1.556061276,0.906159355,-0.928792151,1.139632659,1.204998316,-0.396715405,0.639356632,-0.318096699,-0.690481432
AT2G25460,-0.602950192,1.680575428,1.809422724,-0.205943737,-0.580278283,-0.575224487,-0.322120117,-0.610189031,-0.593292304
AT2G25530,-0.242799799,0.133242,-0.290856466,2.311986073,-0.654028598,0.796903974,-0.787373272,-0.570633957,-0.696439954
AT2G25735,-0.772646702,1.223219113,2.085687705,-0.31412473,-0.538812467,-0.682820769,0.161532544,-0.590137994,-0.571896701
AT2G25900,-0.227322083,-0.502000367,-0.184622021,-1.120392422,0.409446673,-0.652263387,2.383412434,-0.305677851,0.199419025
AT2G26150,-0.25965096,-0.303551734,-0.234037221,-0.126948363,-0.335025695,2.638009187,-0.537406626,-0.254200344,-0.587188244
AT2G26530,-1.059767695,0.722695866,1.729329727,-0.358022661,-0.265620358,-0.754735316,1.310675035,-0.67916702,-0.645387579
AT2G26580,-0.932946132,-1.214439761,-0.492882106,-1.208948993,1.260833444,0.189310672,1.118835549,0.99608274,0.284154587
AT2G26740,-1.110897646,-0.554042062,-0.296921208,-0.248067785,0.249122357,-0.157037873,2.469379876,-0.353102981,0.001567322
AT2G27080,-0.462684518,1.931040269,1.419226175,0.207566067,-0.587925905,-0.863076618,-0.498109153,-0.619652056,-0.526384261
AT2G27420,-0.340783151,0.041449962,-0.452928529,2.035349184,-0.616069273,0.97767162,-1.441205288,0.123201494,-0.32668602
AT2G27660,-0.950353574,0.327318255,-0.656479602,2.389010762,-0.777405271,0.284647627,-0.085953843,-0.359508198,-0.171276157
AT2G27690,-0.684700292,2.295477798,0.019741032,0.944496267,-0.412144432,-0.669433453,-0.426125012,-0.520613336,-0.546698572
AT2G28450,0.971378991,-0.548667801,0.164224803,-0.936572648,0.260498351,-1.613663913,1.740714989,-0.291601223,0.25368845
AT2G28510,-1.411455079,0.475721759,-1.282232785,0.590862172,1.333047779,-0.46551687,1.273637109,-0.115187794,-0.398876292
AT2G28550,-0.570476369,0.084044254,-0.641403518,2.519008669,-0.422190348,0.317478536,-0.199646095,-0.51880382,-0.56801131
AT2G28710,-0.667940313,0.341796886,-1.390414467,2.290038617,-0.183695054,0.145928228,-0.35508692,-0.266470628,0.085843651
AT2G28810,-0.775034031,-1.346435987,-1.128637036,-0.401944148,1.127506895,-0.012738504,1.376163501,0.97533342,0.18578589
AT2G28850,-0.740949806,-0.679962756,-0.703635692,0.456182837,-0.592734076,2.217885804,-0.365926412,0.836031449,-0.426891347
AT2G29360,-1.691647523,-0.513028443,-0.516787199,0.0926449,0.014411275,1.772600203,0.413089859,0.987215789,-0.55849886
AT2G29380,1.802215035,-0.725967232,1.236169821,0.281264406,-1.035781642,-0.595529799,-1.048488515,0.25190267,-0.165784744
AT2G29440,-1.141620609,0.070463985,-0.710331103,2.292930751,0.397059738,0.110172991,-0.751711686,0.148595633,-0.415559699
AT2G29450,-1.096951134,-0.546698722,-0.756586676,1.097957387,-0.163034742,2.020547435,0.295618747,-0.141412613,-0.709439681
AT2G29650,-0.885074089,-0.346091306,-0.489461281,0.379985474,-0.718318799,2.3483298,0.175559331,0.288768582,-0.753697712
AT2G30020,-0.601064132,0.396144958,2.554204594,-0.286127281,-0.281666134,-0.492668926,-0.430068531,-0.439722403,-0.419032146
AT2G30040,-0.916619564,1.259417649,0.004468054,2.088101453,-0.477888185,-0.352463258,-0.516924712,-0.514908055,-0.573183383
AT2G30520,-0.757702416,0.225253595,-0.617095647,2.058187345,-0.510927633,1.250664419,-0.509837972,-0.45763797,-0.680903721
AT2G31070,-1.3018534,-0.665520147,-0.551354455,0.083194006,-0.046084398,2.113635509,0.467760449,0.605088785,-0.704866349
AT2G31180,-0.273645745,0.170049389,-1.1355317,-0.912911717,1.477577589,-0.367956906,1.74009799,-0.651671427,-0.046007472
AT2G31280,-0.841663906,-0.86773333,-0.169266267,-0.981487579,0.303934267,1.754528862,1.457052525,-0.18953234,-0.465832232
AT2G31380,-0.838225207,-0.21763343,-0.692511951,1.906196821,-0.480714473,1.487728739,-0.069051802,-0.338983752,-0.756804946
AT2G31540,2.08289622,-0.149922986,0.401119191,-0.92989254,-0.637103512,-0.497807919,-0.955013511,0.980277562,-0.294552505
AT2G31560,-1.405867248,0.281853813,-0.268887588,1.711447309,-0.54463794,1.308908552,-0.231699616,0.082863512,-0.933980795
AT2G31730,-0.696395199,0.519794376,-0.951158335,2.391198003,-0.379074504,-0.021912537,-0.08234152,-0.67908254,-0.101027744
AT2G32140,-0.534594048,1.047559274,2.282823176,-0.224211986,-0.546144713,-0.491805741,-0.633714513,-0.384325026,-0.515586423
AT2G32530,-0.760072488,-0.447456393,-0.602676135,0.383331971,-0.332924007,2.523996708,-0.273588777,-0.112428519,-0.37818236
AT2G32930,0.724376278,0.982311777,0.202955125,1.428358712,-0.788810548,0.551885091,-1.468708702,-0.736413902,-0.895953831
AT2G33380,-1.194776957,-0.752784363,-0.586492054,1.764228369,-0.533575072,1.443665064,0.278752133,-0.122942238,-0.296074883
AT2G33480,-0.263563086,-1.336934214,-0.489859512,-0.501495209,0.923234042,-0.127376668,2.150224476,-0.397218328,0.042988499
AT2G33580,-0.165730393,0.776239904,2.387124857,-0.225307012,-0.438151083,-0.795092883,-0.570973366,-0.516292866,-0.451817159
AT2G34140,-0.818012537,-0.050093298,-0.917056162,-0.331413008,0.3289565,-1.206572728,1.993375131,0.912189905,0.088626197
AT2G34390,-0.67303599,-0.618750542,-0.669212696,0.670480137,-0.513885866,2.400934277,-0.266362734,0.072364487,-0.402531074
AT2G34420,-1.046371161,-0.877330141,-0.915982378,-0.580780943,-0.001203587,1.230318821,1.713907253,0.682528221,-0.205086086
AT2G34430,-0.859009209,-0.838219078,-0.854523433,-0.840352835,1.023984086,0.097918806,1.978921106,0.376298409,-0.085017852
AT2G34600,-1.234194507,1.081892768,1.750452009,-0.630782789,0.145368743,-0.913715831,0.737619439,-0.415572499,-0.521067333
AT2G34710,-1.012396151,-0.007692535,0.533506447,-0.338521821,-1.284306,2.005944868,-0.193257632,0.789119268,-0.492396445
AT2G34720,-0.547575239,0.320597851,0.203659861,1.696286717,-1.091836429,0.564037056,0.961446539,-1.165049261,-0.941567095
AT2G34830,1.237598771,1.539883636,-0.180084841,0.676991018,-1.17545639,-1.177453008,-0.878222632,0.160108366,-0.203364921
AT2G34930,-1.836890956,0.551173914,-0.947556107,0.937751997,1.300023611,-0.788326283,0.393532213,0.16163121,0.2286604
AT2G35075,-1.191628283,0.348148333,0.94784356,-0.736554669,-0.973722867,1.374077969,-0.149463377,1.212078617,-0.830779284
AT2G35270,-0.713946461,1.172787659,-0.136648494,2.141953586,-0.626187179,-0.743408385,-0.035239999,-0.505846695,-0.553464033
AT2G35290,-0.78280345,2.087847433,0.985798243,0.576931649,-0.646074273,-0.519947087,-0.653360784,-0.352056842,-0.696334889
AT2G35550,-0.675189098,-0.961179964,-0.245926613,-0.966468346,0.93637279,-0.422323447,1.953097507,-0.393637733,0.775254903
AT2G35660,-1.613796611,0.192148405,-0.395372994,1.346007867,-0.13523341,1.363907494,0.221664313,0.211578125,-1.19090319
AT2G35710,-0.557512755,1.914413873,0.163939204,1.461675561,-0.692340434,-0.462642769,-0.796713886,-0.541935093,-0.488883701
AT2G35930,-0.874434715,1.448430556,1.718875058,0.584277848,-0.806374174,-0.496708288,-0.243466731,-0.66835943,-0.662240123
AT2G35940,-1.026288079,-0.40304864,-1.190433947,1.70679231,0.590422389,-0.034403007,1.127152025,-0.903343126,0.133150076
AT2G35990,2.274662463,0.364904103,0.395339091,0.244750132,-0.960611441,-0.240839766,-0.843314441,-0.512264646,-0.722625494
AT2G36080,-1.078993447,1.163750618,-0.376936977,2.034999419,-0.538103834,0.286012898,-0.299256889,-0.478609445,-0.712862343
AT2G36090,-0.322204477,0.696942889,-0.764491817,2.393242384,-0.378147874,-0.171446231,-0.734232691,-0.612767782,-0.106894401
AT2G36400,-0.731752798,-1.094555409,-0.269466769,-1.462990057,0.072009222,1.333107431,0.76045924,1.297588354,0.095600787
AT2G36590,-1.182244295,-0.978987991,-1.098121651,-0.61683995,1.194737458,1.027962934,1.19834871,0.097582293,0.357562492
AT2G36630,-0.803176263,-0.152791787,-0.16809675,1.106530997,-0.832778622,1.959736042,-0.540895711,0.454190327,-1.022718233
AT2G36650,-0.974744521,0.844342077,2.169643729,-0.267315751,-0.373644857,-0.262638231,0.115584885,-0.099584269,-1.151643061
AT2G36790,-0.942167893,0.156606025,0.973425845,1.606687529,-0.630155782,0.968792293,-0.156924191,-0.637630736,-1.33863309
AT2G36800,-1.009769242,0.827370507,0.127322421,1.888386013,-0.482104046,0.86806346,-0.652144196,-0.590662737,-0.976462178
AT2G36870,-0.395405889,0.06880782,-0.471312384,2.193616985,-0.62847333,0.98148462,-0.967196246,-0.070072873,-0.711448703
AT2G37060,1.968774841,0.460998145,-1.104092788,0.941514843,0.169665186,-0.759113641,-0.967751653,-0.276557055,-0.433437878
AT2G37360,2.189776909,0.311670453,-1.171634175,0.694056041,-0.454105956,-0.865638336,-0.105912854,-0.531064937,-0.067147146
AT2G37430,-0.921405183,2.044761581,0.672572852,0.641763275,-1.035912406,-0.148632043,0.097299021,-0.464011045,-0.886436051
AT2G37970,-0.886414024,-0.06905483,-0.386293046,2.064954116,-0.533689754,1.29145866,-0.290315387,-0.43649606,-0.754149674
AT2G38090,1.440576752,0.293654199,0.098302166,-0.027084547,-0.321461305,0.277876748,-2.234873262,0.756614572,-0.283605324
AT2G38210,-0.763616783,0.564785547,0.02799642,1.961394062,-0.823811333,1.064531748,-0.568686533,-0.58101421,-0.881578918
AT2G38230,-0.852347481,0.011590628,0.116668998,1.482026802,-0.828413322,1.771199771,-0.168661227,-0.628409128,-0.903655039
AT2G38240,-0.906957726,0.161273308,-0.745537524,2.262370281,-0.570035239,0.63247003,0.27857646,-0.388359369,-0.723800221
AT2G38310,-1.708058473,0.665376936,-0.406386021,1.838155358,-0.510965923,0.614972004,-0.573766112,0.289441285,-0.208769056
AT2G38340,-0.917168139,-1.331520313,1.402703813,-0.922819221,0.50724182,-0.091856496,1.466088513,-0.325767995,0.213098018
AT2G38390,0.104964312,-0.432415776,-1.205164918,0.134523219,0.528239902,-0.482642956,2.233896782,-0.910152189,0.028751625
AT2G38470,-0.637166313,0.604693227,2.140336982,-0.633982296,-0.50605675,-0.77113318,0.889993991,-0.621180029,-0.465505632
AT2G39200,-0.700481268,0.579831123,-0.61145531,2.052737312,-0.88493935,0.793586662,0.254112007,-0.80422057,-0.679170606
AT2G39250,-1.304881817,-0.366047189,-1.12832988,1.708839789,-0.014603228,1.289543867,0.294826849,-0.010453554,-0.468894838
AT2G39370,0.580111824,-1.058084224,-1.710414592,-0.068183077,1.372188966,-0.772372473,0.562939803,0.215860259,0.877953512
AT2G39415,-1.06688085,-0.419820708,-0.463643861,1.981843048,0.06547315,0.164473873,-1.117422344,-0.241536489,1.097514179
