,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G12370,-0.858485181,-0.167034364,-0.847459483,1.946786057,-0.158209809,1.402854922,-0.48259217,-0.14253866,-0.693321311
AT1G12610,-0.565772271,1.413237274,2.05545866,-0.59656703,-0.387238417,-0.594586382,-0.535111541,-0.409483475,-0.379936818
AT1G12860,-1.129742211,-0.475064037,0.441558375,-0.658080327,-0.219630173,2.218911154,-0.542051955,0.7007232,-0.336624025
AT1G13110,-0.547427894,-0.007732418,-0.948312866,2.437509932,-0.326771701,0.511123105,-0.505347622,-0.461760094,-0.151280442
AT1G13260,-0.414599639,0.152769245,0.591916903,-2.1605342,0.479670249,-0.625794701,1.300789319,-0.011678627,0.687461452
AT1G13340,-0.642396632,0.679866485,2.222682256,-0.657391029,-0.201738694,-1.104747913,0.396385276,-0.563645602,-0.129014147
AT1G13480,-0.894720913,-0.424453866,-0.647472538,0.556132178,-0.714805228,0.724260243,2.207459266,-0.233945173,-0.572453969
AT1G13670,-0.873441041,1.276288843,-0.053417752,1.939966612,-0.588466304,0.206437256,-0.859369341,-0.236519711,-0.811478562
AT1G13740,-0.689294051,0.568087494,0.110923235,2.242385401,-0.786263495,0.502732632,-0.55496761,-0.620811266,-0.772792341
AT1G13930,-0.996798834,0.025829135,-0.49444813,1.810441016,-0.269826487,1.417629746,-1.106826958,-0.418283084,0.032283596
AT1G14345,-1.034463708,-0.141750946,-0.4918212,0.918707508,-0.200280934,2.157819046,-0.641998855,0.243736319,-0.809947231
AT1G14350,1.858880539,-0.064600089,1.040669178,-0.012383238,0.613364693,-1.098457785,-0.962897827,-0.651809257,-0.722766215
AT1G14430,-0.570352559,0.011606265,-0.134261761,1.175863199,-0.769760395,1.914922251,-1.123939376,0.306592386,-0.810670009
AT1G14920,0.798967287,-1.294627073,-0.458579397,-1.837948892,0.456668199,0.06860172,0.418165813,0.933955409,0.914796935
AT1G15010,-0.87238209,0.63302294,1.642484406,-0.965240345,0.202696437,-0.761993199,1.328918635,-0.818237615,-0.389269168
AT1G15100,-0.360252925,0.544766287,-0.812501875,2.362362522,-0.566619329,0.414506515,-0.509644622,-0.584617854,-0.487998719
AT1G15580,-0.842014423,-1.047247302,-0.380216791,2.069940532,0.371048885,-0.056713972,-1.061010709,0.632431174,0.313782607
AT1G15640,-0.354323649,0.464209087,-0.217015236,2.511777875,-0.493425738,-0.165969914,-0.686504478,-0.535030343,-0.523717604
AT1G15760,2.128768254,-0.484372999,0.965588532,-0.239964706,-0.751939446,-0.484917181,-1.046683084,0.371454072,-0.457933443
AT1G16720,-0.742472436,-0.370298847,-0.69060036,1.474768055,-0.396686905,1.96620776,-0.459756231,-0.145704792,-0.635456245
AT1G17100,-0.736636472,0.450892728,0.267232129,2.078451151,-0.790207324,0.822917463,-0.8919744,-0.450937837,-0.749737439
AT1G17380,-1.061627174,-0.581555676,-0.644530284,-0.657056312,0.816017775,-0.289392448,2.210747738,-0.016828296,0.224224677
AT1G17420,-1.267713323,2.198491269,0.069986007,-0.563948179,0.037261772,-0.653297061,0.776932315,-0.184480099,-0.413232699
AT1G17750,-1.494828471,1.076996389,0.321953687,-0.933238535,1.062058686,-1.024316666,1.191912905,-0.019581702,-0.180956291
AT1G17920,0.396963822,0.739395147,0.758436654,0.750626519,-1.142445248,1.186825742,-1.53467108,-0.118800071,-1.036331484
AT1G17950,1.951190917,-0.45324949,-1.017118768,0.02471891,-0.23821614,-0.220111271,0.636814686,0.708604614,-1.392633457
AT1G18100,1.993370324,0.061302773,-0.995623301,0.366458826,0.417451681,-1.320575644,-0.672780461,-0.432261437,0.582657238
AT1G18300,-0.458558257,0.350179253,2.576183787,-0.314471977,-0.441857255,-0.440670215,-0.377104379,-0.431089689,-0.462611268
AT1G18330,-0.730160307,1.42900538,-0.421466429,1.921571726,-0.701665792,-0.117103176,0.065118587,-0.723916068,-0.721383922
AT1G18710,-1.394035203,-0.900285408,-0.983796346,0.212105269,0.299155527,1.402868558,1.472229736,-0.089159238,-0.019082894
AT1G18810,-1.070257789,0.041122631,-0.478736035,2.24276097,0.350323301,0.576423023,-0.302232474,-0.431338434,-0.928065193
AT1G18830,-0.231274359,-0.028645316,-0.425413576,2.626188117,-0.502491876,-0.118657858,-0.363722683,-0.555540237,-0.400442209
AT1G19020,-1.162777617,1.240933583,0.98472171,0.011478388,-0.601754148,-0.734171311,1.541756007,-0.782672098,-0.497514514
AT1G19180,-2.22096846,1.01502213,0.491922187,-0.670720969,0.807180757,-0.289135592,0.766462491,0.143784168,-0.043546712
AT1G19220,-0.545585167,-0.091030146,-1.020223464,2.477201836,0.016042954,0.195417974,-0.628262243,-0.233994514,-0.16956723
AT1G19380,-0.628934671,1.334642153,0.771250504,1.721947232,-0.632651726,-0.274294037,-0.758586072,-0.902124265,-0.631249118
AT1G19490,-0.085312238,0.43612061,0.230418525,2.206697742,-0.771461054,0.370121395,-1.031113186,-0.389704031,-0.965767764
AT1G19510,0.356334862,0.529331133,2.136198463,0.159166682,-0.353966978,-0.37678203,-1.507979133,-0.373862608,-0.568440389
AT1G19670,-1.197473875,-1.049589377,-1.168934705,0.245309321,0.892969094,0.77305426,1.608240094,0.107941565,-0.211516377
AT1G19700,-0.076923035,-1.308165506,-1.136488023,0.672634802,0.550754559,1.983459992,-0.539086133,-0.073049628,-0.073137029
AT1G20310,-0.744207451,1.588306015,1.825572551,0.056755462,-0.550348444,-0.465360006,-0.322048852,-0.685879894,-0.70278938
AT1G20510,-1.761346843,1.632013854,0.889697819,-0.183664527,0.55678353,-1.015894272,0.072041569,-0.24258933,0.0529582
AT1G20520,-0.596723579,0.678033267,2.428819634,-0.429497839,-0.125068286,-0.50072375,-0.748715126,-0.463316824,-0.242807497
AT1G21120,-0.514305511,-0.180728979,-0.42661268,-0.106330527,-0.435663648,-0.15941039,2.638486568,-0.39700584,-0.418428992
AT1G21450,-0.155611522,-0.430027003,-0.490957706,-0.2174293,0.672644441,-0.974201996,2.365533224,-0.708137369,-0.061812768
AT1G22065,1.064647585,0.352823711,-0.804162988,-0.206746066,0.585624776,-1.448414861,1.67964114,-0.756952147,-0.466461149
AT1G22070,-0.032444172,-0.870554575,-0.853210942,-0.051177711,1.081060148,-1.039183872,-0.452091581,0.214756553,2.00284615
AT1G22220,-0.544355802,-0.083694849,-0.422926613,2.61832908,-0.288822165,0.027426098,-0.420890851,-0.374825856,-0.510239043
AT1G22570,-1.506639997,1.035471382,-0.479154503,2.021803998,-0.048442229,-0.181081208,-0.202957996,-0.492799094,-0.146200352
AT1G22590,-1.132178419,-0.680941975,-0.700163764,-0.845312646,0.834018722,1.81751648,-0.034450062,0.993109157,-0.251597493
AT1G22680,-0.510907233,0.023012325,-0.317823092,1.737385308,-0.817301331,1.58235338,-1.000986349,-0.029193127,-0.666539879
AT1G22770,-0.701861246,0.007393773,-0.832888098,2.398910168,-0.285746246,0.41892837,-0.686499377,-0.53314591,0.214908567
AT1G22810,-0.618582006,1.801519549,-0.326900408,1.698939301,-0.587358964,-0.273453298,-0.585385567,-0.527126979,-0.581651628
AT1G23010,-0.308587853,0.252723723,-0.351543289,1.832503312,-1.017081716,1.444287033,-0.556096255,-0.436541323,-0.859663632
AT1G23160,2.275239606,-0.192918063,0.253560544,-1.036793489,-0.316287359,-0.366134799,-0.983690253,0.61810455,-0.251080737
AT1G24140,-0.484197438,0.763457961,2.39458226,-0.522611947,-0.492385233,-0.561955983,-0.029307724,-0.686393534,-0.381188361
AT1G24625,-0.665653138,-0.897990306,-0.341720775,-1.147555091,0.425084982,1.829679472,-0.728544894,0.978123705,0.548576046
AT1G25250,0.598401529,-0.652473753,0.254843543,-0.32170249,-0.499806864,0.223235894,-1.949430018,1.484747338,0.862184821
AT1G25440,-0.895728903,-1.043576988,-0.841631341,-0.344147536,0.344749607,2.057716701,0.899032899,0.140882795,-0.317297235
AT1G25560,-1.26494409,-0.140373527,0.367734762,-0.393045928,0.723509834,-1.119960784,1.929228274,-0.592175108,0.490026566
AT1G26780,1.15035935,-1.712131502,0.060441055,0.05512743,0.266874258,0.296730411,-1.549330654,0.993164561,0.438765091
AT1G26790,-0.681132189,1.11802294,-0.227884628,2.136262667,-0.825385686,0.034337887,-0.2270196,-0.496532183,-0.830669208
AT1G26945,0.143501303,-1.383617849,-0.626419394,-1.644341798,0.719978635,0.455673265,0.441148408,1.303664488,0.590412943
AT1G26960,0.677719127,0.820734634,0.276309672,0.8740644,-0.128155718,-0.362580746,-2.344131847,0.521160113,-0.335119636
AT1G27660,1.2236157,-0.273677653,1.578199679,-0.024168209,-0.902113779,-0.323059961,-1.452519449,0.755250614,-0.58152694
AT1G27730,-0.685435137,1.214101049,2.131434061,-0.078348923,-0.590518017,-0.634867447,-0.145101773,-0.622732572,-0.588531242
AT1G27740,0.538562251,0.516933638,-0.290992872,1.752974424,-1.157810913,0.505484862,-1.497266059,0.251727862,-0.619613192
AT1G28370,-0.559484584,0.632591272,2.475757459,-0.564216945,-0.296078651,-0.565311079,-0.295900143,-0.445564188,-0.381793141
AT1G28480,-1.295507323,0.884232492,1.252266836,-0.454826919,0.166392509,-0.85500276,1.498447407,-0.748803012,-0.447199229
AT1G28600,-1.740178731,0.356313511,-0.215343136,-0.045046152,-0.040038786,2.10356219,0.267714445,-0.167145743,-0.519837599
AT1G29280,-0.405176708,-0.060681904,-1.251599881,2.136295208,0.011577918,-1.02168002,0.312741529,-0.371292142,0.649816
AT1G29640,-0.271101575,1.436967736,0.154055316,1.830684498,-0.803258352,-0.043051974,-0.897318545,-0.554427197,-0.852549909
AT1G29920,-0.877097286,-0.787363687,-0.868946168,-0.556004111,0.663057428,1.920981367,0.943250969,0.245358605,-0.683237117
AT1G30040,-1.059777386,-0.34038308,-0.842294121,2.001796293,0.498357155,-0.537007227,1.039594954,-0.642680278,-0.117606311
AT1G30100,-0.119885346,-1.413495608,0.285310073,-1.229767401,0.978117173,0.300466888,-0.928962239,0.732965568,1.395250892
AT1G30135,-1.169747305,1.878941585,0.941295674,0.550874198,-0.53294532,-0.899908557,0.386970462,-0.594911632,-0.560569103
AT1G30330,0.52100414,1.040836312,0.674161884,0.856622034,-0.851724181,-0.151845021,-2.166025939,0.121543481,-0.044572711
AT1G30650,1.987762119,-0.207178635,-0.65504274,0.20268141,-0.515376504,-1.430418633,-0.406201126,-0.005293547,1.029067657
AT1G30970,-1.153582516,0.184277267,0.287445052,-1.011851817,-0.0183753,0.614476731,1.967857822,-1.105858914,0.235611673
AT1G31040,1.012255871,0.04732689,1.186390411,-1.050352486,0.396095933,-1.546102148,-0.755153001,-0.384498382,1.094036912
