"","hr0_1","hr2_1","hr0_2","hr2_2","hr0_3","hr2_3"
"AT1G01020",-1.23480436742022,0.159474813005977,-1.17852733889759,1.1074470416993,0.87097375021706,0.275436101395464
"AT1G01030",0.337557506439254,-0.116586487755376,-1.23872019900076,-0.131885460832668,-0.578397991165035,1.72803263231459
"AT1G01040",-0.988047317176915,1.46480030726651,-0.703067486677602,0.817060714934865,-0.815824792278041,0.22507857393119
"AT1G01046",-0.570905044305054,1.58300238730969,-0.326503646561383,-0.98485327865665,0.873111688491481,-0.573852106278082
"AT1G01050",0.98101501566628,-0.447220738631014,0.595518442429872,-1.26197404163021,1.03627471610678,-0.903613393941702
"AT1G01060",0.242350378481333,-0.934823349433003,1.46515000651074,-1.11842842649796,-0.379416301783641,0.725167692722532
"AT1G01070",0.931899916187432,-0.552804811864034,1.05736737858588,-0.0324070310783117,0.225659597842051,-1.62971504967301
"AT1G01080",0.775506344946996,-0.103728979790192,-1.29304530173534,-0.845081547313889,0.0525093214595464,1.41384016243288
"AT1G01090",1.31046443492476,0.188532079927,0.245322167183809,-1.78136061848359,-0.0621758356526234,0.0992177721006466
"AT1G01100",1.08073491733517,-1.11005572634412,-0.33179440187124,-0.956884934002349,1.25293181509955,0.0650683297829918
"AT1G01110",-0.48605072280342,0.490332983990367,-0.777065548075053,-1.29781392491,1.24917941759667,0.821417794201437
"AT1G01120",-0.945963455168448,0.934767250326465,1.43813365578027,-0.192327826685937,-0.190681757047726,-1.04392786720463
"AT1G01130",0.988089500123715,0.0338918321132487,-0.447005064576279,-1.38949046549264,1.29052277604109,-0.476008578209138
"AT1G01140",0.64431977620511,1.01788531641741,0.491749475967284,-0.99103283059636,0.326450031320612,-1.48937176931405
"AT1G01150",1.51838623423347,-1.44523860918636,0.292051877935921,0.433632126642002,-0.481243375269678,-0.317588254355349
"AT1G01160",-1.53932717796882,0.325301369209273,0.0651243544222815,1.1921420189608,0.719416899694572,-0.762657464318105
"AT1G01170",1.32289199007358,-0.305837994033364,-1.46068301158812,-0.577562958370803,0.800276456600166,0.220915517318546
"AT1G01180",-1.26491516846287,0.000225530216202893,0.756597962505712,1.50061439855813,-0.700166778264915,-0.292355944552262
"AT1G01183",0.716124559140247,1.72965495382387,-0.611444878241028,-0.611444878241028,-0.611444878241028,-0.611444878241028
"AT1G01190",-0.512445450956,0.00672322423651895,1.9966232757896,-0.545790191707296,-0.528883720458811,-0.416227136904016
"AT1G01200",0.939485787125662,0.0320631536978848,-0.0900025480598255,-1.67585509338504,1.09868286054407,-0.304374159922747
"AT1G01210",-1.68482253277096,-0.0808567015573432,-0.107762041590044,1.21388204776196,0.805281325784356,-0.145722097627972
"AT1G01220",1.32897982379092,-0.321601825711678,-0.374541652768268,-1.28904815982283,1.07414589040097,-0.417934075889113
"AT1G01225",0.624770310971634,0.322838396474773,-0.525771406677921,0.143326000670414,-1.70538781023224,1.14022450879335
"AT1G01230",0.663498758183553,-0.172844198093523,0.850740546565153,-0.268615954217031,0.720303050816556,-1.79308220325471
"AT1G01240",-1.45489935170112,-0.197352527453211,0.858095996034055,1.28225335679289,0.171100558603534,-0.659198032276151
"AT1G01250",0.674017106229539,0.124657339892847,0.685088480067886,-1.57527701616921,0.933205683107687,-0.841691593128747
"AT1G01260",-1.33281944770175,0.558050587914184,-0.809313248396344,0.11029887592144,-0.0243572187605652,1.49814045102304
"AT1G01290",-1.41604277788811,-0.885014418793007,0.298598605184,1.38155539247933,0.412812502537391,0.208090696480398
