"","WTJA_1","WTJA_2","WTJA_3","MutantJA_1","MutantJA_2","MutantJA_3"
"AT1G01050",0.0676954385741733,-0.00348945559660754,0.019540951340998,0.109568905733456,1.47883128184201,-1.67214712189403
"AT1G01080",-0.0890021106682745,0.0531700920875414,-0.0664626151094256,-1.0651356491015,1.84245927799001,-0.675028995198345
"AT1G01090",0.558282401714342,-1.37055161465577,0.381934480483638,-0.860745806007007,1.38368228238376,-0.092601743918982
"AT1G01100",-0.552986856524418,-1.29889211572961,-0.640028807262365,1.18490158363325,1.06540331228115,0.241602883601998
"AT1G01260",-0.474067596352801,0.773478709838781,0.810905099024529,-1.79646668091588,0.511493985538549,0.174656482866822
"AT1G01300",-0.995751605274056,-1.27895534351062,-0.326773544119107,0.788795027331955,0.927068647389762,0.885616818182061
"AT1G01320",-1.20137989289311,-0.104112706198208,0.641105203451361,-1.11210019623442,1.28831259437151,0.488174997502867
"AT1G01350",1.35838235528872,0.861830822052926,0.223407422178337,-0.960488844255767,-0.329403644379736,-1.15372811088447
"AT1G01440",-0.798020752369336,-1.29641289511301,0.11332488007624,0.458639436120072,1.56756195372475,-0.0450926224387137
"AT1G01470",-1.06722708721045,-0.0819121329225908,0.818105889561578,0.596401562849607,-1.31465588541877,1.04928765314063
"AT1G01510",-0.368088471685836,-1.53968714375905,1.49928718954963,0.305244098471181,0.323199633675368,-0.219955306251292
"AT1G01610",-0.733194659564981,-1.2110296741736,-0.26471062371583,0.988320530052359,-0.165590248865511,1.38620467626756
"AT1G01620",-0.563436132344877,-1.17260918383462,-0.935560248811441,1.03344081507476,0.713104416394796,0.925060333521375
"AT1G01630",0.678733058574336,-1.07826800225657,-1.03789770541357,0.325046387117931,1.44362514300682,-0.331238881028953
"AT1G01660",1.06098978174685,-0.85010529280267,-0.300638094965409,0.706353582345907,0.780783401973265,-1.39738337829795
"AT1G01725",-0.529981240290853,1.53496208202427,-0.319102296353718,-1.04360718294962,0.923204353572972,-0.565475716003044
"AT1G01750",-0.23543169097332,-1.41505171691806,-0.744156380455126,1.33598839824168,0.676287349300756,0.382364040804067
"AT1G01780",-0.94081582828487,-1.02475478694226,-0.699035132152181,1.10474009899621,0.516255008409105,1.04361063997399
"AT1G01800",0.23062979274745,-1.3476357009798,-1.01520952639817,1.28288173528517,0.640963082305428,0.208370617039921
"AT1G01820",-1.67959473042436,-0.602144598848846,0.799904433125364,-0.0388700363922811,0.857186592019252,0.663518340520869
"AT1G01900",-0.0636099032109396,1.65567722006706,-0.377696437374554,-0.496949841423543,-1.2552947332956,0.537873695237573
"AT1G01910",-0.528696082900512,0.204889036995523,-0.828307689763314,1.17322139525829,-1.15417392196976,1.13306726237977
"AT1G01920",-1.40429929036509,0.513415291534095,0.253092045122441,1.34644968005139,0.209704837387165,-0.918362563730002
"AT1G01960",-0.316389828193665,-1.69419239673265,-0.0953901633677566,1.24837413973974,0.64597986176198,0.211618386792351
"AT1G01980",0.592264452884164,-0.648900820390287,-1.30988867043127,0.687579315272519,1.29054942299016,-0.611603700325279
